Serial No,Crime_Type,Year_of_Crime,Gender,Area_Name,Detailed_Area,Latitude,Longitude,Location,Time,link
80,Robbery,2023,"Male, Female",Badda,Middle Badda,23.77980016,90.4237461,"(23.779800161598445, 90.42374609835036)",Morning,https://www.dhakatribune.com/bangladesh/dhaka/314736/deserted-dhaka-spate-of-robberies-muggings
81,Robbery,2025,,Mirpur,"Line 20, Block A, Mirpur 10",23.81416582,90.36950265,"23.814165821946826, 90.36950265058375",Dawn,https://en.bd-pratidin.com/city/2025/02/22/30745
82,Robbery,2025,,Mirpur,"Love road, Mipur",23.80452274,90.36025387,"23.804522736493222, 90.36025387243721",Midnight,https://www.dhakatribune.com/bangladesh/dhaka/370276/3-members-of-a-robbery-gang-arrested-in-dhaka
83,Murder,2024,Male,Mirpur,"Pallabi, Mirpur",23.82823896,90.36055392,"23.82823895757774, 90.36055391978581",Evening,https://www.thedailystar.net/news/bangladesh/crime-justice/news/murder-captured-cctv-mirpur-2-arrested-3569106
84,Robbery,2024,,Mirpur,"Pallabi, Mirpur",23.82823896,90.36055392,"23.82823895757774, 90.36055391978581",,https://www.dhakatribune.com/bangladesh/dhaka/354079/robbery-reported-in-various-areas-of-dhaka
85,Murder,2025,Female,Mirpur,Shewrapara,23.79127748,90.37700589,"23.79127747969797, 90.37700589457103",Night,https://www.thedailystar.net/news/bangladesh/news/teen-held-over-murder-two-aunts-3893221
86,Murder,2024,Female,Mirpur,"Road 10, Mirpur DOHS",23.83900717,90.37512183,"23.839007174766927, 90.37512182710633",Midnight,https://www.thedailystar.net/news/bangladesh/crime-justice/news/homemaker-murdered-mirpur-dohs-3739156
87,Murder,2025,"Male, Female",Mirpur,"Block C, Millat Camp, Mirpur 11",23.75513332,90.37094657,"23.755133316736227, 90.37094656851902",Morning,https://thefinancialexpress.com.bd/national/police-recover-bodies-of-couple-from-house-in-mirpur-11
88,Robbery,2025,Male,Mirpur,"Abdul Baten Road, Mirpur",23.80776938,90.36651409,"23.80776938019851, 90.36651408963164",Morning,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggers-shoot-money-changer-mirpur-take-tk-22-lakh-3904551
89,Robbery,2025,,Mirpur,Mirpur DOHS,23.83684269,90.36884653,"23.83684269147349, 90.3688465332524",Morning,https://www.thedailystar.net/news/bangladesh/crime-justice/news/thieves-take-tk-103-lakh-worth-tech-cash-mirpur-dohs-flat-3578741
90,Murder,2022,Male,Mirpur,"Kazipara, Mirpur",23.79926875,90.36819836,"23.799268747117107, 90.36819835775822",Morning,https://www.thedailystar.net/news/bangladesh/crime-justice/news/bulbul-victim-mugging-2994381
91,Murder,2025,Male,Mohammadpur,Durga Mandir Lane,23.74974603,90.3627775,"23.749746031769643, 90.36277750257086",Evening,https://www.dhakatribune.com/bangladesh/dhaka/381455/two-killed-in-separate-stabbing-attacks-in-dhaka
